year,ssp1,ssp2,ssp3,ssp4,ssp5
2157,1263.474096,1284.088361,499.9486683,690.1056431,2698.323315
2158,1268.793216,1291.54853,500.5615576,692.3416017,2714.314094
2159,1274.043035,1298.915059,501.1588837,694.5419531,2730.09247
2160,1279.223614,1306.187982,501.7411205,696.7070815,2745.65915
2161,1284.335059,1313.367382,502.3087249,698.8373746,2761.014929
2162,1289.377514,1320.453396,502.8621374,700.9332234,2776.160691
2163,1294.351162,1327.446209,503.4017827,702.9950218,2791.097401
2164,1299.256225,1334.346053,503.9280704,705.023166,2805.8261
2165,1304.092956,1341.153203,504.4413956,707.0180544,2820.347907
2166,1308.861644,1347.86798,504.9421393,708.9800871,2834.664009
2167,1313.562607,1354.490743,505.430669,710.9096656,2848.775661
2168,1318.196194,1361.02189,505.9073395,712.8071922,2862.68418
2169,1322.762779,1367.461857,506.3724932,714.67307,2876.390945
2170,1327.262766,1373.811115,506.8264603,716.5077026,2889.89739
2171,1331.696579,1380.070166,507.26956,718.3114936,2903.205002
2172,1336.064669,1386.239547,507.7021002,720.0848465,2916.315319
2173,1340.367506,1392.319821,508.1243784,721.8281642,2929.229925
2174,1344.605582,1398.311582,508.5366818,723.5418492,2941.950447
2175,1348.779407,1404.21545,508.9392881,725.2263027,2954.478556
2176,1352.889507,1410.032067,509.3324653,726.8819252,2966.815957
2177,1356.936428,1415.762102,509.7164728,728.5091154,2978.964393
2178,1360.920728,1421.406244,510.0915611,730.1082708,2990.925639
2179,1364.842979,1426.965204,510.4579724,731.6797869,3002.7015
2180,1368.703769,1432.43971,510.815941,733.2240575,3014.293808
2181,1372.503694,1437.83051,511.1656934,734.7414741,3025.704422
2182,1376.243364,1443.138366,511.5074488,736.232426,3036.935221
2183,1379.923396,1448.364057,511.8414194,737.6973002,3047.988109
2184,1383.544418,1453.508375,512.1678103,739.136481,3058.865003
2185,1387.107065,1458.572126,512.4868202,740.5503501,3069.567842
